Date : 2024-02-04 19:23:10
Directory : c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src
Total : 257 files,  5557 codes, 24 comments, 627 blanks, all 6208 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| features\flowView-slice\flowHistoryGraph                                                                                            |          4 |         80 |          0 |         11 |         91 |
| features\flowView-slice\flowHistoryGraph (Files)                                                                                    |          1 |          1 |          0 |          1 |          2 |
| features\flowView-slice\flowHistoryGraph\model                                                                                      |          1 |         13 |          0 |          2 |         15 |
| features\flowView-slice\flowHistoryGraph\ui                                                                                         |          2 |         66 |          0 |          8 |         74 |
| features\flowView-slice\flowManagement                                                                                              |          4 |         67 |          0 |          9 |         76 |
| features\flowView-slice\flowManagement (Files)                                                                                      |          1 |          1 |          0 |          1 |          2 |
| features\flowView-slice\flowManagement\api                                                                                          |          1 |         10 |          0 |          2 |         12 |
| features\flowView-slice\flowManagement\ui                                                                                           |          2 |         56 |          0 |          6 |         62 |
| features\flowsTable-slice                                                                                                           |          6 |        344 |          1 |         24 |        369 |
| features\flowsTable-slice\flowsTable                                                                                                |          6 |        344 |          1 |         24 |        369 |
| features\flowsTable-slice\flowsTable (Files)                                                                                        |          1 |          1 |          0 |          1 |          2 |
| features\flowsTable-slice\flowsTable\approveModal                                                                                   |          3 |        170 |          1 |         14 |        185 |
| features\flowsTable-slice\flowsTable\approveModal (Files)                                                                           |          1 |          1 |          0 |          0 |          1 |
| features\flowsTable-slice\flowsTable\approveModal\ui                                                                                |          2 |        169 |          1 |         14 |        184 |
| features\flowsTable-slice\flowsTable\ui                                                                                             |          2 |        173 |          0 |          9 |        182 |
| features\generateFuncTaskView-slice                                                                                                 |          3 |         33 |          0 |          3 |         36 |
| features\generateFuncTaskView-slice\funcTaskDoc                                                                                     |          3 |         33 |          0 |          3 |         36 |
| features\generateFuncTaskView-slice\funcTaskDoc (Files)                                                                             |          1 |          1 |          0 |          0 |          1 |
| features\generateFuncTaskView-slice\funcTaskDoc\ui                                                                                  |          2 |         32 |          0 |          3 |         35 |
| features\news-slice                                                                                                                 |          4 |         79 |          0 |         11 |         90 |
| features\news-slice\articles                                                                                                        |          4 |         79 |          0 |         11 |         90 |
| features\news-slice\articles (Files)                                                                                                |          1 |          1 |          0 |          0 |          1 |
| features\news-slice\articles\api                                                                                                    |          1 |         21 |          0 |          4 |         25 |
| features\news-slice\articles\ui                                                                                                     |          2 |         57 |          0 |          7 |         64 |
| features\profile-slice                                                                                                              |          3 |         56 |          0 |          5 |         61 |
| features\profile-slice\achievementCard                                                                                              |          3 |         56 |          0 |          5 |         61 |
| features\profile-slice\achievementCard (Files)                                                                                      |          1 |          0 |          0 |          1 |          1 |
| features\profile-slice\achievementCard\ui                                                                                           |          2 |         56 |          0 |          4 |         60 |
| features\ratingTable-slice                                                                                                          |          5 |        253 |          0 |         30 |        283 |
| features\ratingTable-slice\rating                                                                                                   |          5 |        253 |          0 |         30 |        283 |
| features\ratingTable-slice\rating (Files)                                                                                           |          1 |          1 |          0 |          0 |          1 |
| features\ratingTable-slice\rating\api                                                                                               |          1 |         21 |          0 |          2 |         23 |
| features\ratingTable-slice\rating\ratingIcons                                                                                       |          1 |         63 |          0 |          8 |         71 |
| features\ratingTable-slice\rating\ui                                                                                                |          2 |        168 |          0 |         20 |        188 |
| screens                                                                                                                             |         38 |        472 |          0 |         68 |        540 |
| screens\flows                                                                                                                       |         20 |        229 |          0 |         38 |        267 |
| screens\flows\archive                                                                                                               |          4 |         81 |          0 |         12 |         93 |
| screens\flows\archive (Files)                                                                                                       |          1 |          1 |          0 |          1 |          2 |
| screens\flows\archive\api                                                                                                           |          1 |         22 |          0 |          4 |         26 |
| screens\flows\archive\ui                                                                                                            |          2 |         58 |          0 |          7 |         65 |
| screens\flows\choice                                                                                                                |          3 |          8 |          0 |          3 |         11 |
| screens\flows\choice (Files)                                                                                                        |          1 |          0 |          0 |          1 |          1 |
| screens\flows\choice\ui                                                                                                             |          2 |          8 |          0 |          2 |         10 |
| screens\flows\create                                                                                                                |          6 |         40 |          0 |          8 |         48 |
| screens\flows\create\full                                                                                                           |          3 |         20 |          0 |          5 |         25 |
| screens\flows\create\full (Files)                                                                                                   |          1 |          1 |          0 |          1 |          2 |
| screens\flows\create\full\ui                                                                                                        |          2 |         19 |          0 |          4 |         23 |
| screens\flows\create\small                                                                                                          |          3 |         20 |          0 |          3 |         23 |
| screens\flows\create\small (Files)                                                                                                  |          1 |          1 |          0 |          0 |          1 |
| screens\flows\create\small\ui                                                                                                       |          2 |         19 |          0 |          3 |         22 |
| screens\flows\my                                                                                                                    |          4 |         81 |          0 |         11 |         92 |
| screens\flows\my (Files)                                                                                                            |          1 |          1 |          0 |          1 |          2 |
| screens\flows\my\api                                                                                                                |          1 |         22 |          0 |          4 |         26 |
| screens\flows\my\ui                                                                                                                 |          2 |         58 |          0 |          6 |         64 |
| screens\flows\view                                                                                                                  |          3 |         19 |          0 |          4 |         23 |
| screens\flows\view (Files)                                                                                                          |          1 |          1 |          0 |          1 |          2 |
| screens\flows\view\ui                                                                                                               |          2 |         18 |          0 |          3 |         21 |
| screens\layouts                                                                                                                     |          6 |        140 |          0 |         14 |        154 |
| screens\layouts\desktop                                                                                                             |          3 |         84 |          0 |          7 |         91 |
| screens\layouts\desktop (Files)                                                                                                     |          1 |          1 |          0 |          1 |          2 |
| screens\layouts\desktop\ui                                                                                                          |          2 |         83 |          0 |          6 |         89 |
| screens\layouts\mobile                                                                                                              |          3 |         56 |          0 |          7 |         63 |
| screens\layouts\mobile (Files)                                                                                                      |          1 |          1 |          0 |          1 |          2 |
| screens\layouts\mobile\ui                                                                                                           |          2 |         55 |          0 |          6 |         61 |
| screens\news                                                                                                                        |          3 |         19 |          0 |          3 |         22 |
| screens\news\view                                                                                                                   |          3 |         19 |          0 |          3 |         22 |
| screens\news\view (Files)                                                                                                           |          1 |          1 |          0 |          0 |          1 |
| screens\news\view\ui                                                                                                                |          2 |         18 |          0 |          3 |         21 |
| screens\postView                                                                                                                    |          3 |         19 |          0 |          4 |         23 |
| screens\postView (Files)                                                                                                            |          1 |          1 |          0 |          1 |          2 |
| screens\postView\ui                                                                                                                 |          2 |         18 |          0 |          3 |         21 |
| screens\profile                                                                                                                     |          3 |         47 |          0 |          6 |         53 |
| screens\profile (Files)                                                                                                             |          1 |          1 |          0 |          0 |          1 |
| screens\profile\api                                                                                                                 |          1 |         10 |          0 |          2 |         12 |
| screens\profile\ui                                                                                                                  |          1 |         36 |          0 |          4 |         40 |
| screens\rating                                                                                                                      |          3 |         18 |          0 |          3 |         21 |
| screens\rating (Files)                                                                                                              |          1 |          1 |          0 |          0 |          1 |
| screens\rating\ui                                                                                                                   |          2 |         17 |          0 |          3 |         20 |
| shared                                                                                                                              |         77 |      1,590 |          5 |        166 |      1,761 |
| shared\api                                                                                                                          |          1 |         12 |          0 |          4 |         16 |
| shared\api\axios-config                                                                                                             |          1 |         12 |          0 |          4 |         16 |
| shared\hooks                                                                                                                        |          1 |         24 |          0 |          4 |         28 |
| shared\hooks\useWindowSize                                                                                                          |          1 |         24 |          0 |          4 |         28 |
| shared\interface                                                                                                                    |          9 |        148 |          1 |         20 |        169 |
| shared\lib                                                                                                                          |          9 |        156 |          4 |         40 |        200 |
| shared\lib\auth                                                                                                                     |          3 |         60 |          1 |         11 |         72 |
| shared\lib\parse                                                                                                                    |          6 |         96 |          3 |         29 |        128 |
| shared\ui                                                                                                                           |         57 |      1,250 |          0 |         98 |      1,348 |
| shared\ui\flowView-slice                                                                                                            |          3 |         50 |          0 |          6 |         56 |
| shared\ui\flowView-slice\flowGraphIcon                                                                                              |          3 |         50 |          0 |          6 |         56 |
| shared\ui\flowView-slice\flowGraphIcon (Files)                                                                                      |          1 |          1 |          0 |          1 |          2 |
| shared\ui\flowView-slice\flowGraphIcon\ui                                                                                           |          2 |         49 |          0 |          5 |         54 |
| shared\ui\flowsTable-slice                                                                                                          |          4 |        119 |          0 |         12 |        131 |
| shared\ui\flowsTable-slice\flowStatus                                                                                               |          4 |        119 |          0 |         12 |        131 |
| shared\ui\flowsTable-slice\flowStatus (Files)                                                                                       |          1 |          1 |          0 |          1 |          2 |
| shared\ui\flowsTable-slice\flowStatus\model                                                                                         |          1 |         50 |          0 |          5 |         55 |
| shared\ui\flowsTable-slice\flowStatus\ui                                                                                            |          2 |         68 |          0 |          6 |         74 |
| shared\ui\header-slice                                                                                                              |          9 |        309 |          0 |         27 |        336 |
| shared\ui\header-slice\burgerButton                                                                                                 |          3 |         66 |          0 |          5 |         71 |
| shared\ui\header-slice\burgerButton (Files)                                                                                         |          1 |          1 |          0 |          1 |          2 |
| shared\ui\header-slice\burgerButton\ui                                                                                              |          2 |         65 |          0 |          4 |         69 |
| shared\ui\header-slice\navItem                                                                                                      |          3 |        227 |          0 |         19 |        246 |
| shared\ui\header-slice\navItem (Files)                                                                                              |          1 |          1 |          0 |          1 |          2 |
| shared\ui\header-slice\navItem\ui                                                                                                   |          2 |        226 |          0 |         18 |        244 |
| shared\ui\header-slice\navLogo                                                                                                      |          3 |         16 |          0 |          3 |         19 |
| shared\ui\header-slice\navLogo (Files)                                                                                              |          1 |          1 |          0 |          1 |          2 |
| shared\ui\header-slice\navLogo\ui                                                                                                   |          2 |         15 |          0 |          2 |         17 |
| shared\ui\icons                                                                                                                     |         18 |        248 |          0 |         10 |        258 |
| shared\ui\icons\approve                                                                                                             |          2 |         22 |          0 |          1 |         23 |
| shared\ui\icons\change                                                                                                              |          2 |         22 |          0 |          1 |         23 |
| shared\ui\icons\comment                                                                                                             |          2 |         22 |          0 |          1 |         23 |
| shared\ui\icons\delete                                                                                                              |          2 |         22 |          0 |          1 |         23 |
| shared\ui\icons\download                                                                                                            |          2 |         22 |          0 |          1 |         23 |
| shared\ui\icons\filter                                                                                                              |          2 |         42 |          0 |          1 |         43 |
| shared\ui\icons\plusWhite                                                                                                           |          2 |         46 |          0 |          2 |         48 |
| shared\ui\icons\print                                                                                                               |          2 |         22 |          0 |          1 |         23 |
| shared\ui\icons\showHistory                                                                                                         |          2 |         28 |          0 |          1 |         29 |
| shared\ui\news-slice                                                                                                                |         10 |        189 |          0 |         17 |        206 |
| shared\ui\news-slice\createrUser                                                                                                    |          3 |         37 |          0 |          6 |         43 |
| shared\ui\news-slice\createrUser (Files)                                                                                            |          1 |          1 |          0 |          0 |          1 |
| shared\ui\news-slice\createrUser\ui                                                                                                 |          2 |         36 |          0 |          6 |         42 |
| shared\ui\news-slice\likesAndViews                                                                                                  |          4 |        130 |          0 |          9 |        139 |
| shared\ui\news-slice\likesAndViews (Files)                                                                                          |          1 |          1 |          0 |          0 |          1 |
| shared\ui\news-slice\likesAndViews\api                                                                                              |          1 |         22 |          0 |          2 |         24 |
| shared\ui\news-slice\likesAndViews\ui                                                                                               |          2 |        107 |          0 |          7 |        114 |
| shared\ui\news-slice\tag                                                                                                            |          3 |         22 |          0 |          2 |         24 |
| shared\ui\news-slice\tag (Files)                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| shared\ui\news-slice\tag\ui                                                                                                         |          2 |         21 |          0 |          2 |         23 |
| shared\ui\pageHeaders-slice                                                                                                         |         10 |        294 |          0 |         24 |        318 |
| shared\ui\pageHeaders-slice\backArray                                                                                               |          3 |         47 |          0 |          5 |         52 |
| shared\ui\pageHeaders-slice\backArray (Files)                                                                                       |          1 |          1 |          0 |          1 |          2 |
| shared\ui\pageHeaders-slice\backArray\ui                                                                                            |          2 |         46 |          0 |          4 |         50 |
| shared\ui\pageHeaders-slice\flowsList                                                                                               |          4 |        229 |          0 |         16 |        245 |
| shared\ui\pageHeaders-slice\flowsList (Files)                                                                                       |          1 |          1 |          0 |          1 |          2 |
| shared\ui\pageHeaders-slice\flowsList\model                                                                                         |          1 |         34 |          0 |          5 |         39 |
| shared\ui\pageHeaders-slice\flowsList\ui                                                                                            |          2 |        194 |          0 |         10 |        204 |
| shared\ui\pageHeaders-slice\title                                                                                                   |          3 |         18 |          0 |          3 |         21 |
| shared\ui\pageHeaders-slice\title (Files)                                                                                           |          1 |          1 |          0 |          1 |          2 |
| shared\ui\pageHeaders-slice\title\ui                                                                                                |          2 |         17 |          0 |          2 |         19 |
| shared\ui\profile-slice                                                                                                             |          3 |         41 |          0 |          2 |         43 |
| shared\ui\profile-slice\achievementProgressBarCircle                                                                                |          3 |         41 |          0 |          2 |         43 |
| shared\ui\profile-slice\achievementProgressBarCircle (Files)                                                                        |          1 |          1 |          0 |          0 |          1 |
| shared\ui\profile-slice\achievementProgressBarCircle\ui                                                                             |          2 |         40 |          0 |          2 |         42 |
| widgets                                                                                                                             |         30 |      1,196 |         17 |         99 |      1,312 |
| widgets\flowCreate-slice                                                                                                            |         19 |        851 |         17 |         76 |        944 |
| widgets\flowCreate-slice\flowCreateChoose                                                                                           |          4 |        123 |          0 |         12 |        135 |
| widgets\flowCreate-slice\flowCreateChoose (Files)                                                                                   |          1 |          1 |          0 |          0 |          1 |
| widgets\flowCreate-slice\flowCreateChoose\data                                                                                      |          1 |          6 |          0 |          1 |          7 |
| widgets\flowCreate-slice\flowCreateChoose\ui                                                                                        |          2 |        116 |          0 |         11 |        127 |
| widgets\flowCreate-slice\flowCreateForm                                                                                             |         15 |        728 |         17 |         64 |        809 |
| widgets\flowCreate-slice\flowCreateForm (Files)                                                                                     |          1 |          1 |          0 |          1 |          2 |
| widgets\flowCreate-slice\flowCreateForm\api                                                                                         |          5 |        101 |          0 |         10 |        111 |
| widgets\flowCreate-slice\flowCreateForm\data                                                                                        |          2 |         64 |          0 |          6 |         70 |
| widgets\flowCreate-slice\flowCreateForm\modal                                                                                       |          4 |        153 |          1 |         12 |        166 |
| widgets\flowCreate-slice\flowCreateForm\modal (Files)                                                                               |          1 |          1 |          0 |          0 |          1 |
| widgets\flowCreate-slice\flowCreateForm\modal\api                                                                                   |          1 |         10 |          0 |          2 |         12 |
| widgets\flowCreate-slice\flowCreateForm\modal\ui                                                                                    |          2 |        142 |          1 |         10 |        153 |
| widgets\flowCreate-slice\flowCreateForm\model                                                                                       |          1 |          8 |          0 |          3 |         11 |
| widgets\flowCreate-slice\flowCreateForm\ui                                                                                          |          2 |        401 |         16 |         32 |        449 |
| widgets\flowView-slice                                                                                                              |          4 |         76 |          0 |         10 |         86 |
| widgets\flowView-slice\flowViewHead                                                                                                 |          4 |         76 |          0 |         10 |         86 |
| widgets\flowView-slice\flowViewHead (Files)                                                                                         |          1 |          1 |          0 |          1 |          2 |
| widgets\flowView-slice\flowViewHead\api                                                                                             |          1 |         19 |          0 |          3 |         22 |
| widgets\flowView-slice\flowViewHead\ui                                                                                              |          2 |         56 |          0 |          6 |         62 |
| widgets\profile-slice                                                                                                               |          7 |        269 |          0 |         13 |        282 |
| widgets\profile-slice\achievementProfileBlock                                                                                       |          3 |         46 |          0 |          4 |         50 |
| widgets\profile-slice\achievementProfileBlock (Files)                                                                               |          1 |          1 |          0 |          0 |          1 |
| widgets\profile-slice\achievementProfileBlock\ui                                                                                    |          2 |         45 |          0 |          4 |         49 |
| widgets\profile-slice\userInfoProfileBlock                                                                                          |          4 |        223 |          0 |          9 |        232 |
| widgets\profile-slice\userInfoProfileBlock (Files)                                                                                  |          1 |          1 |          0 |          0 |          1 |
| widgets\profile-slice\userInfoProfileBlock\model                                                                                    |          1 |         13 |          0 |          2 |         15 |
| widgets\profile-slice\userInfoProfileBlock\ui                                                                                       |          2 |        209 |          0 |          7 |        216 |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                            | language       | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\app\(routing)\flows\archive\page.tsx                                   | TypeScript JSX |          9 |          0 |          3 |         12 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\app\(routing)\flows\choice\page.tsx                                    | TypeScript JSX |          9 |          0 |          3 |         12 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\app\(routing)\flows\create\full\page.tsx                               | TypeScript JSX |          9 |          0 |          3 |         12 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\app\(routing)\flows\create\small\page.tsx                              | TypeScript JSX |          9 |          0 |          3 |         12 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\app\(routing)\flows\my\comment\id\page.tsx                             | TypeScript JSX |          4 |          0 |          2 |          6 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\app\(routing)\flows\my\page.tsx                                        | TypeScript JSX |          9 |          0 |          3 |         12 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\app\(routing)\flows\view\[id]\page.tsx                                 | TypeScript JSX |          9 |          0 |          3 |         12 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\app\(routing)\layout.tsx                                               | TypeScript JSX |         19 |          0 |          3 |         22 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\app\(routing)\mycompany\news\page.tsx                                  | TypeScript JSX |          9 |          0 |          2 |         11 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\app\(routing)\mycompany\rating\page.tsx                                | TypeScript JSX |          9 |          0 |          4 |         13 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\app\(routing)\post\[id]\page.tsx                                       | TypeScript JSX |          9 |          0 |          4 |         13 |
| c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\app\(routing)\profile\page.tsx                                         | TypeScript JSX |          8 |          0 |          2 |         10 |
